order_id,customer_id,ordered_at,amount,sku,status
ORD-1001,CUS-01,2026-08-01T10:15:00,42.50,SKU-WIDGET,paid
ORD-1002,CUS-02,2026-08-01T14:02:00,18.00,SKU-GADGET,paid
ORD-1003,CUS-01,2026-08-02T09:41:00,120.00,SKU-PRO,shipped
ORD-1004,CUS-03,2026-08-02T16:20:00,9.99,SKU-WIDGET,paid
ORD-1005,CUS-04,2026-08-03T11:05:00,64.25,SKU-GADGET,paid
ORD-1006,CUS-02,2026-08-03T19:48:00,22.00,SKU-WIDGET,cancelled
ORD-1007,CUS-05,2026-08-04T08:12:00,310.00,SKU-PRO,paid
ORD-1008,CUS-03,2026-08-04T13:33:00,15.50,SKU-GADGET,shipped
ORD-1009,CUS-06,2026-08-05T10:00:00,47.00,SKU-WIDGET,paid
ORD-1010,CUS-01,2026-08-05T17:22:00,88.40,SKU-PRO,paid
ORD-1011,CUS-07,2026-08-06T09:09:00,12.00,SKU-GADGET,pending
ORD-1012,CUS-04,2026-08-06T21:55:00,199.00,SKU-PRO,shipped
ORD-1013,CUS-08,2026-08-07T12:40:00,33.33,SKU-WIDGET,paid
ORD-1014,CUS-05,2026-08-08T07:18:00,54.10,SKU-GADGET,paid
ORD-1015,CUS-09,2026-08-08T18:01:00,71.00,SKU-WIDGET,paid
ORD-1016,CUS-02,2026-08-09T11:11:00,16.75,SKU-GADGET,refunded
ORD-1017,CUS-10,2026-08-10T15:30:00,250.00,SKU-PRO,paid
,CUS-09,2026-08-10T16:00:00,12.00,SKU-WIDGET,paid
ORD-1099,CUS-01,not-a-date,20.00,SKU-GADGET,paid
ORD-1100,CUS-02,2026-08-11T10:00:00,-5.00,SKU-WIDGET,paid
ORD-1101,CUS-03,2026-08-11T11:00:00,free,SKU-GADGET,pending
